2008,11,7,5,1620,1610,1851,1853,AS,37,N552AS,211,223,190,-2,10,SEA,ANC,1449,7,14,0,,0,NA,NA,NA,NA,NA
2008,11,7,5,1739,1735,2123,2129,AS,642,N565AS,164,174,144,-6,4,SEA,PHX,1107,6,14,0,,0,NA,NA,NA,NA,NA
2008,11,7,5,715,720,902,907,AS,73,N613AS,107,107,87,-5,-5,JNU,ANC,571,6,14,0,,0,NA,NA,NA,NA,NA
2008,11,7,5,1253,1250,1613,1625,AS,672,N551AS,140,155,125,-12,3,SEA,DEN,1024,3,12,0,,0,NA,NA,NA,NA,NA
2008,11,7,5,747,750,1113,1132,AS,670,N614AS,146,162,126,-19,-3,SEA,DEN,1024,4,16,0,,0,NA,NA,NA,NA,NA
2008,11,7,5,1151,1155,1349,1400,AS,631,N553AS,178,185,157,-11,-4,PHX,SEA,1107,7,14,0,,0,NA,NA,NA,NA,NA
2008,11,7,5,2215,2140,2324,2257,AS,721,N793AS,69,77,53,27,35,LAX,SFO,337,5,11,0,,0,0,0,0,0,27
2008,11,7,5,959,1000,1252,1250,AS,501,N644AS,173,170,144,2,-1,SNA,SEA,978,7,22,0,,0,NA,NA,NA,NA,NA
2008,11,7,5,1159,1200,1442,1442,AS,464,N713AS,163,162,133,0,-1,SEA,LAX,954,7,23,0,,0,NA,NA,NA,NA,NA
2008,11,7,5,1358,1348,1535,1532,AS,53,N763AS,97,104,83,3,10,ANC,SCC,626,4,10,0,,0,NA,NA,NA,NA,NA
2008,11,7,5,1141,1140,1255,1243,AS,184,N613AS,74,63,46,12,1,FAI,ANC,261,8,20,0,,0,NA,NA,NA,NA,NA
2008,11,7,5,1206,1210,1338,1349,AS,64,N768AS,92,99,77,-11,-4,ANC,JNU,571,6,9,0,,0,NA,NA,NA,NA,NA
2008,11,7,5,607,610,833,843,AS,600,N590AS,146,153,122,-10,-3,SEA,LAS,866,10,14,0,,0,NA,NA,NA,NA,NA
2008,11,7,5,1218,1200,1317,1248,AS,692,N564AS,59,48,39,29,18,SEA,GEG,224,4,16,0,,0,18,0,11,0,0
2008,11,7,5,650,650,901,917,AS,244,N589AS,131,147,110,-16,0,PDX,LAX,834,9,12,0,,0,NA,NA,NA,NA,NA
2008,11,7,5,1235,1235,1400,1403,AS,382,N778AS,85,88,66,-3,0,SFO,PSP,421,3,16,0,,0,NA,NA,NA,NA,NA
2008,11,7,5,2125,2045,2337,2307,AS,249,N706AS,132,142,113,30,40,LAX,PDX,834,7,12,0,,0,0,0,0,0,30
2008,11,7,5,2035,2048,2140,2155,AS,46,N763AS,65,67,56,-15,-13,BET,ANC,399,4,5,0,,0,NA,NA,NA,NA,NA
2008,11,7,5,655,645,1014,1017,AS,680,N648AS,139,152,120,-3,10,PDX,DEN,992,8,11,0,,0,NA,NA,NA,NA,NA
2008,11,7,5,1148,1200,1434,1448,AS,503,N585AS,166,168,141,-14,-12,SNA,SEA,978,4,21,0,,0,NA,NA,NA,NA,NA
2008,11,7,5,1400,1355,2146,2154,AS,2,N590AS,286,299,264,-8,5,SEA,DCA,2329,5,17,0,,0,NA,NA,NA,NA,NA
2008,11,7,5,654,700,818,828,AS,301,N706AS,84,88,65,-10,-6,PSP,SFO,421,4,15,0,,0,NA,NA,NA,NA,NA
2008,11,7,5,1955,1955,2133,2140,AS,374,N546AS,98,105,84,-7,0,SEA,SMF,605,2,12,0,,0,NA,NA,NA,NA,NA
2008,11,7,5,736,740,858,920,AS,61,N607AS,142,160,126,-22,-4,SEA,JNU,909,4,12,0,,0,NA,NA,NA,NA,NA
2008,11,7,5,1337,1330,1518,1513,AS,368,N644AS,101,103,82,5,7,SEA,SMF,605,4,15,0,,0,NA,NA,NA,NA,NA
2008,11,7,5,1303,1304,2101,2059,AS,6,N592AS,298,295,274,2,-1,LAX,DCA,2311,6,18,0,,0,NA,NA,NA,NA,NA
2008,11,7,5,626,630,832,843,AS,333,N767AS,126,133,105,-11,-4,SJC,SEA,697,10,11,0,,0,NA,NA,NA,NA,NA
2008,11,7,5,1539,1455,1923,1846,AS,638,N795AS,164,171,145,37,44,SEA,PHX,1107,4,15,0,,0,37,0,0,0,0
2008,11,7,5,840,840,1207,1200,AS,9,N551AS,387,380,361,7,0,MCO,SEA,2553,13,13,0,,0,NA,NA,NA,NA,NA
2008,11,7,5,2002,2000,2231,2240,AS,513,N564AS,149,160,137,-9,2,SNA,SEA,978,3,9,0,,0,NA,NA,NA,NA,NA
2008,11,7,5,948,950,1148,1143,AS,382,N778AS,120,113,87,5,-2,PDX,SFO,550,19,14,0,,0,NA,NA,NA,NA,NA
2008,11,7,5,657,700,817,801,AS,699,N568AS,80,61,47,16,-3,GEG,SEA,224,12,21,0,,0,0,0,16,0,0
2008,11,7,5,2025,2030,2211,2233,AS,221,N303AS,106,123,89,-22,-5,SFO,SEA,679,4,13,0,,0,NA,NA,NA,NA,NA
2008,11,7,5,1628,1630,1830,1837,AS,316,N303AS,122,127,106,-7,-2,SEA,SFO,679,5,11,0,,0,NA,NA,NA,NA,NA
2008,11,7,5,1433,1430,1636,1638,AS,314,N785AS,123,128,102,-2,3,SEA,SFO,679,6,15,0,,0,NA,NA,NA,NA,NA
2008,11,7,5,1326,1330,1534,1535,AS,346,N797AS,128,125,106,-1,-4,SEA,OAK,671,7,15,0,,0,NA,NA,NA,NA,NA
2008,11,7,5,126,130,540,554,AS,112,N614AS,194,204,173,-14,-4,ANC,SEA,1449,4,17,0,,0,NA,NA,NA,NA,NA
2008,11,7,5,1819,1830,2014,2032,AS,349,N617AS,115,122,99,-18,-11,OAK,SEA,671,6,10,0,,0,NA,NA,NA,NA,NA
2008,11,7,5,2258,2300,2355,2359,AS,698,N775AS,57,59,35,-4,-2,SEA,GEG,224,6,16,0,,0,NA,NA,NA,NA,NA
